52,도담,닭/오리요리,후라이드/양념치킨,"인천광역시 남구 인하로67번길 24-31",NULL,126.6572421,37.45238684,1,2019-09-01,NULL,NULL,NULL,NULL
53,아무데나,유흥주점,호프/맥주,"인천광역시 남구 경인남길30번길 61-3",1,126.6576735,37.45164389,1,2019-09-01,NULL,NULL,NULL,NULL
54,준석이네,분식,라면김밥분식,"인천광역시 남구 인하로77번길 6-11",NULL,126.657418,37.45139771,1,2019-09-01,NULL,NULL,NULL,NULL
55,아이엔지,한식,파전전문,"인천광역시 남구 인하로67번길 6-31",1,126.6568959,37.45151792,1,2019-09-01,NULL,NULL,NULL,NULL
56,국수마루,분식,라면김밥분식,"인천광역시 남구 인하로91번길 6",NULL,126.658576,37.45110451,1,2019-09-01,NULL,NULL,NULL,NULL
57,이즈바지,양식,스파게티전문점,"인천광역시 남구 인하로 79",NULL,126.6571389,37.45120532,1,2019-09-01,NULL,NULL,NULL,NULL
58,190-29,양식,돈가스전문점,"인천광역시 남구 인하로 89",NULL,126.6581382,37.45093735,1,2019-09-01,NULL,NULL,NULL,NULL
59,싼타페,유흥주점,호프/맥주,"인천광역시 남구 인하로67번길 6",NULL,126.6560898,37.451725,1,2019-09-01,NULL,NULL,NULL,NULL
60,큰돈,커피점/카페,커피전문점/카페/다방,"인천광역시 남구 경인남길30번길 71",NULL,126.6582524,37.4515063,1,2019-09-01,NULL,NULL,NULL,NULL
61,가야,한식,한식/백반/한정식,"인천광역시 남구 인하로67번길 5-9",NULL,126.6556262,37.45173775,1,2019-09-01,NULL,NULL,NULL,NULL
62,너랑나랑,한식,한식/백반/한정식,"인천광역시 남구 경인남길30번길 36",NULL,126.6563708,37.45180929,1,2019-09-01,NULL,NULL,NULL,NULL
63,영진다방,커피점/카페,커피전문점/카페/다방,"인천광역시 남구 인하로 73-1",NULL,126.65657,37.4514151,1,2019-09-01,NULL,NULL,NULL,NULL
64,올빼미핵교,유흥주점,호프/맥주,"인천광역시 남구 인하로 87",NULL,126.6578769,37.45101548,1,2019-09-01,NULL,NULL,NULL,NULL
65,빌보드,패스트푸드,피자전문,"인천광역시 남구 인하로47번길 91",NULL,126.6588415,37.45332406,1,2019-09-01,NULL,NULL,NULL,NULL
66,지구촌친구들식당,유흥주점,호프/맥주,"인천광역시 남구 인하로77번길 35",NULL,126.6575299,37.4527235,1,2019-09-01,NULL,NULL,NULL,NULL
67,좋은친구들경양식,유흥주점,호프/맥주,"인천광역시 남구 경인남길30번길 62",NULL,126.6576882,37.45145484,1,2019-09-01,NULL,NULL,NULL,NULL
